time (seconds),encoderLeft (meters),encoderRight (meters)
47.001,14.691916465759277,15.865569114685059
47.101,14.734281539916992,15.919575691223145
47.201,14.780651092529297,15.976439476013184
47.301,14.831015586853027,16.035959243774414
47.401,14.885168075561523,16.09818458557129
47.501,14.942347526550293,16.162689208984375
47.601,15.002989768981934,16.22991371154785
47.701,15.066292762756348,16.299299240112305
47.801,15.132730484008789,16.37130355834961
47.901,15.201682090759277,16.445457458496094
48.001,15.272912979125977,16.52159881591797
48.101,15.346532821655273,16.59986114501953
48.201,15.421860694885254,16.679662704467773
48.301,15.49901294708252,16.761133193969727
48.401,15.577779769897461,16.84410285949707
48.501,15.657979011535645,16.928428649902344
48.601,15.739290237426758,17.013824462890625
48.701,15.82146167755127,17.100074768066406
48.801,15.904265403747559,17.186975479125977
48.901,15.987584114074707,17.27444839477539
49.001,16.07111930847168,17.362211227416992
49.101,16.15467643737793,17.450109481811523
49.201,16.238056182861328,17.5379581451416
49.301,16.320974349975586,17.62553596496582
49.401,16.403356552124023,17.712753295898438
49.501,16.484874725341797,17.79935646057129
49.601,16.56528091430664,17.885149002075195
49.701,16.644609451293945,17.970142364501953
49.801,16.72244644165039,18.054031372070312
49.901,16.79887580871582,18.136878967285156
50.001,16.87344741821289,18.218366622924805
50.101,16.946025848388672,18.298410415649414
50.201,17.016794204711914,18.377168655395508
50.301,17.085311889648438,18.454360961914062
50.401,17.151763916015625,18.530155181884766
50.501,17.215782165527344,18.604352951049805
50.601,17.277341842651367,18.677000045776367
50.701,17.33670997619629,18.748319625854492
50.801,17.393829345703125,18.818347930908203
50.901,17.448450088500977,18.88701629638672
51.001,17.501188278198242,18.95472526550293
51.101,17.55180549621582,19.021421432495117
51.201,17.600725173950195,19.087373733520508
51.301,17.648073196411133,19.152694702148438
51.401,17.694400787353516,19.217649459838867
51.501,17.73996925354004,19.282386779785156
51.601,17.78531265258789,19.34712028503418
51.701,17.830904006958008,19.412065505981445
51.801,17.877197265625,19.477401733398438
51.901,17.924779891967773,19.543405532836914
52.001,17.97386932373047,19.61018180847168
52.101,18.025232315063477,19.678150177001953
52.201,18.078744888305664,19.747291564941406
52.301,18.135147094726562,19.818082809448242
52.401,18.19407081604004,19.890382766723633
52.501,18.256101608276367,19.964628219604492
52.601,18.320981979370117,20.040733337402344
52.701,18.389253616333008,20.119142532348633
52.801,18.460567474365234,20.199695587158203
52.901,18.53522300720215,20.282670974731445
53.001,18.61319351196289,20.36812400817871
53.101,18.694400787353516,20.456050872802734
53.201,18.778196334838867,20.545991897583008
53.301,18.865354537963867,20.638591766357422
53.401,18.955150604248047,20.733308792114258
53.501,19.04793357849121,20.830442428588867
53.601,19.14316749572754,20.92957878112793
53.701,19.24115753173828,21.030975341796875
53.801,19.341611862182617,21.134403228759766
53.901,19.444278717041016,21.23965072631836
54.001,19.54883575439453,21.34644889831543
54.101,19.655441284179688,21.454914093017578
54.201,19.76364517211914,21.564668655395508
54.301,19.873472213745117,21.675704956054688
54.401,19.984535217285156,21.787694931030273
54.501,20.096784591674805,21.900562286376953
54.601,20.21001434326172,22.014110565185547
54.701,20.32394027709961,22.128087997436523
54.801,20.438379287719727,22.242328643798828
54.901,20.553239822387695,22.356674194335938
55.001,20.668264389038086,22.470922470092773
55.101,20.783275604248047,22.584850311279297
55.201,20.898090362548828,22.69830322265625
55.301,21.01249122619629,22.81102180480957
55.401,21.126380920410156,22.922956466674805
55.501,21.239627838134766,23.03396224975586
55.6,21.351818084716797,23.143522262573242
55.701,21.463041305541992,23.25179672241211
55.801,21.572986602783203,23.35840606689453
55.898,21.681753158569336,23.463499069213867
56.001,21.78888511657715,23.566499710083008
56.101,21.894563674926758,23.667654037475586
56.201,21.998714447021484,23.76685905456543
56.301,22.10107421875,23.863773345947266
56.401,22.201536178588867,23.958251953125
56.501,22.300073623657227,24.05023765563965
56.601,22.39688491821289,24.13996696472168
56.701,22.491947174072266,24.227380752563477
56.801,22.58500099182129,24.312097549438477
56.901,22.676443099975586,24.394620895385742
57.001,22.766063690185547,24.474618911743164
57.101,22.853849411010742,24.55202293395996
57.201,22.9401912689209,24.62734603881836
57.301,23.025245666503906,24.70077896118164
57.401,23.10881233215332,24.77198600769043
57.501,23.191314697265625,24.84157943725586
57.601,23.272687911987305,24.909433364868164
57.701,23.353153228759766,24.97588539123535
57.801,23.433019638061523,25.04141616821289
57.901,23.5124454498291,25.106290817260742
58.001,23.591533660888672,25.170711517333984
58.101,23.670501708984375,25.235055923461914
58.201,23.749530792236328,25.29961585998535
58.301,23.82880401611328,25.36472511291504
58.401,23.908496856689453,25.4306697845459
58.501,23.98869514465332,25.49756622314453
58.601,24.069622039794922,25.565778732299805
58.701,24.151432037353516,25.63551902770996
58.801,24.23411750793457,25.706729888916016
58.901,24.317899703979492,25.779726028442383
59.001,24.40264129638672,25.854248046875
59.101,24.488676071166992,25.9307804107666
59.201,24.575637817382812,26.008718490600586
59.301,24.664033889770508,26.088804244995117
59.401,24.753576278686523,26.17057991027832
59.501,24.84423828125,26.253986358642578
59.601,24.93592643737793,26.338882446289062
59.701,25.028789520263672,26.425479888916016
59.801,25.12254524230957,26.513378143310547
59.901,25.217084884643555,26.602432250976562
60.001,25.31239891052246,26.692655563354492
60.101,25.408296585083008,26.783802032470703
60.201,25.50462532043457,26.875682830810547
60.301,25.60124397277832,26.9681396484375
60.401,25.697998046875,27.060997009277344
60.501,25.794708251953125,27.154088973999023
60.601,25.891212463378906,27.2471866607666
60.701,25.987255096435547,27.340059280395508
60.801,26.08272933959961,27.432546615600586
60.901,26.177352905273438,27.52437400817871
61.001,26.271106719970703,27.615480422973633
61.101,26.363590240478516,27.70547866821289
61.201,26.454540252685547,27.794099807739258
61.301,26.54414176940918,27.88148307800293
61.401,26.631919860839844,27.967164993286133
61.501,26.717601776123047,28.050867080688477
61.601,26.800949096679688,28.132341384887695
61.701,26.88209342956543,28.211692810058594
61.801,26.96042251586914,28.28831672668457
61.901,27.036230087280273,28.36248207092285
62.001,27.108915328979492,28.433589935302734
62.101,27.178800582885742,28.501937866210938
62.201,27.245149612426758,28.566783905029297
62.301,27.308408737182617,28.628559112548828
62.401,27.36780548095703,28.686471939086914
62.501,27.4233341217041,28.74049186706543
